,meta,memento-datetime,url,data-type,status,1,2,memento-url,filename
74,"com,twitter)/an_cabraal/status/1324195624468639750",20220407232045,https://twitter.com/an_cabraal/status/1324195624468639750,text/html,200,2C7DCORFUB6224FG2A343C6WRZ3BX7JM,9727,https://web.archive.org/web/20220407232045/https://twitter.com/an_cabraal/status/1324195624468639750,status-1324195624468639750-20220407232045.html
75,"com,twitter)/an_cabraal/status/1324195624468639750",20220409232027,https://twitter.com/an_cabraal/status/1324195624468639750,text/html,200,2EMS523UHQQQSKFC6YV6MBF2OKQPLHYQ,7766,https://web.archive.org/web/20220409232027/https://twitter.com/an_cabraal/status/1324195624468639750,status-1324195624468639750-20220409232027.html
76,"com,twitter)/an_cabraal/status/1324288632098758657",20201105095318,https://twitter.com/an_cabraal/status/1324288632098758657,text/html,200,RGBRJ2WS4SLVZ3GO3YV5DG6MC5F33TCC,2260,https://web.archive.org/web/20201105095318/https://twitter.com/an_cabraal/status/1324288632098758657,status-1324288632098758657-20201105095318.html
77,"com,twitter)/an_cabraal/status/1324288815624646656",20201105095404,https://twitter.com/an_cabraal/status/1324288815624646656,text/html,200,VXQJQT4FOWR3L57D7TOEDBZR62EXLNPR,2255,https://web.archive.org/web/20201105095404/https://twitter.com/an_cabraal/status/1324288815624646656,status-1324288815624646656-20201105095404.html
78,"com,twitter)/an_cabraal/status/1324320371261104128",20201105115936,https://twitter.com/an_cabraal/status/1324320371261104128,text/html,200,EB2GLXLZOHB7O24WBX53SASN4BVSFSCG,2561,https://web.archive.org/web/20201105115936/https://twitter.com/an_cabraal/status/1324320371261104128,status-1324320371261104128-20201105115936.html
79,"com,twitter)/an_cabraal/status/1324634108664819712",20201106084616,https://twitter.com/an_cabraal/status/1324634108664819712,text/html,302,NFTT5YRLFH7DG3EDEUPMUVISYHMHNI5D,450,https://web.archive.org/web/20201106084616/https://twitter.com/an_cabraal/status/1324634108664819712,status-1324634108664819712-20201106084616.html
80,"com,twitter)/an_cabraal/status/1324684826033573888",20201106120752,https://twitter.com/an_cabraal/status/1324684826033573888,text/html,200,DB6LKRUY4C6MMMBEWYURUX3K6E4C4X6V,2614,https://web.archive.org/web/20201106120752/https://twitter.com/an_cabraal/status/1324684826033573888,status-1324684826033573888-20201106120752.html
81,"com,twitter)/an_cabraal/status/1324742366503186433",20201106155623,https://twitter.com/an_cabraal/status/1324742366503186433,text/html,200,3VHWOXTU4DZ42IOZFHIEVBWMW7TQTGQA,2077,https://web.archive.org/web/20201106155623/https://twitter.com/an_cabraal/status/1324742366503186433,status-1324742366503186433-20201106155623.html
82,"com,twitter)/an_cabraal/status/1324936009029541888",20201107044556,https://twitter.com/an_cabraal/status/1324936009029541888,text/html,200,TRO5JZ2XMFSIXQAYF53W5QM5T2M2MA7I,2092,https://web.archive.org/web/20201107044556/https://twitter.com/an_cabraal/status/1324936009029541888,status-1324936009029541888-20201107044556.html
83,"com,twitter)/an_cabraal/status/1324956732964081665",20201107060808,https://twitter.com/an_cabraal/status/1324956732964081665,text/html,200,YZJ5NJYMTLBBAZ3ZRVEC2TVWXHFE64YV,2195,https://web.archive.org/web/20201107060808/https://twitter.com/an_cabraal/status/1324956732964081665,status-1324956732964081665-20201107060808.html
